LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
500108,ROCKLAND,NANUET UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,47,14%,69,20.6%,116,34.6%,ELEMENTARY,SCHOOL DISTRICT,101 CHURCH ST,NANUET,NY,10954,,,"(41.0896, -74.0047)"
500108,ROCKLAND,NANUET UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,40,17%,44,18.7%,84,35.7%,MIDDLE/HIGH,SCHOOL DISTRICT,101 CHURCH ST,NANUET,NY,10954,,,"(41.0896, -74.0047)"
500201,ROCKLAND,HAVERSTRAW-STONEY POINT CSD,HUDSON VALLEY,2010-2012,374,15.7%,445,18.7%,819,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,65 CHAPEL ST,GARNERVILLE,NY,10923,,,"(41.211, -73.9932)"
500201,ROCKLAND,HAVERSTRAW-STONEY POINT CSD,HUDSON VALLEY,2010-2012,189,14.6%,247,19.1%,436,33.7%,ELEMENTARY,SCHOOL DISTRICT,65 CHAPEL ST,GARNERVILLE,NY,10923,,,"(41.211, -73.9932)"
500201,ROCKLAND,HAVERSTRAW-STONEY POINT CSD,HUDSON VALLEY,2010-2012,185,17%,198,18.1%,383,35.1%,MIDDLE/HIGH,SCHOOL DISTRICT,65 CHAPEL ST,GARNERVILLE,NY,10923,,,"(41.211, -73.9932)"
500301,ROCKLAND,SO ORANGETOWN CENT SCH,HUDSON VALLEY,2010-2012,245,18.7%,235,17.9%,480,36.6%,DISTRICT TOTAL,SCHOOL DISTRICT,160 VAN WYCK RD,BLAUVELT,NY,10913,,,"(41.0617, -73.971)"
500301,ROCKLAND,SO ORANGETOWN CENT SCH,HUDSON VALLEY,2010-2012,119,15.7%,147,19.4%,266,35.1%,ELEMENTARY,SCHOOL DISTRICT,160 VAN WYCK RD,BLAUVELT,NY,10913,,,"(41.0617, -73.971)"
500301,ROCKLAND,SO ORANGETOWN CENT SCH,HUDSON VALLEY,2010-2012,126,22.8%,88,15.9%,214,38.8%,MIDDLE/HIGH,SCHOOL DISTRICT,160 VAN WYCK RD,BLAUVELT,NY,10913,,,"(41.0617, -73.971)"
500304,ROCKLAND,NYACK UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,90,13.6%,126,19.1%,216,32.7%,DISTRICT TOTAL,SCHOOL DISTRICT,13A DICKINSON AVE,NYACK,NY,10960,,,"(41.0912, -73.9351)"
500304,ROCKLAND,NYACK UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,80,15.2%,116,22.1%,196,37.3%,ELEMENTARY,SCHOOL DISTRICT,13A DICKINSON AVE,NYACK,NY,10960,,,"(41.0912, -73.9351)"
500304,ROCKLAND,NYACK UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,10,7.4%,10,7.4%,20,14.8%,MIDDLE/HIGH,SCHOOL DISTRICT,13A DICKINSON AVE,NYACK,NY,10960,,,"(41.0912, -73.9351)"
500308,ROCKLAND,PEARL RIVER UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,132,17%,93,12%,225,29%,DISTRICT TOTAL,SCHOOL DISTRICT,275 E CENTRAL AVE,PEARL RIVER,NY,10965,,,"(41.0602, -74.0097)"
500308,ROCKLAND,PEARL RIVER UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,77,17.7%,56,12.8%,133,30.5%,ELEMENTARY,SCHOOL DISTRICT,275 E CENTRAL AVE,PEARL RIVER,NY,10965,,,"(41.0602, -74.0097)"
500308,ROCKLAND,PEARL RIVER UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,55,16.3%,37,10.9%,92,27.2%,MIDDLE/HIGH,SCHOOL DISTRICT,275 E CENTRAL AVE,PEARL RIVER,NY,10965,,,"(41.0602, -74.0097)"
500401,ROCKLAND,RAMAPO CENTRAL SCHOOLS,HUDSON VALLEY,2010-2012,293,17.6%,185,11.1%,478,28.7%,DISTRICT TOTAL,SCHOOL DISTRICT,45 MOUNTAIN AVE,HILLBURN,NY,10931,,,"(41.1251, -74.1698)"
500401,ROCKLAND,RAMAPO CENTRAL SCHOOLS,HUDSON VALLEY,2010-2012,100,13%,82,10.7%,182,23.7%,ELEMENTARY,SCHOOL DISTRICT,45 MOUNTAIN AVE,HILLBURN,NY,10931,,,"(41.1251, -74.1698)"
500401,ROCKLAND,RAMAPO CENTRAL SCHOOLS,HUDSON VALLEY,2010-2012,193,24.5%,103,13.1%,296,37.6%,MIDDLE/HIGH,SCHOOL DISTRICT,45 MOUNTAIN AVE,HILLBURN,NY,10931,,,"(41.1251, -74.1698)"
500402,ROCKLAND,EAST RAMAPO CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,322,17.7%,420,23%,742,40.7%,DISTRICT TOTAL,SCHOOL DISTRICT,105 S MADISON AVE,SPRING VALLEY,NY,10977,,,"(41.1031, -74.0485)"
500402,ROCKLAND,EAST RAMAPO CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,137,14.6%,250,26.7%,387,41.3%,ELEMENTARY,SCHOOL DISTRICT,105 S MADISON AVE,SPRING VALLEY,NY,10977,,,"(41.1031, -74.0485)"
500402,ROCKLAND,EAST RAMAPO CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,185,20.9%,170,19.2%,355,40.1%,MIDDLE/HIGH,SCHOOL DISTRICT,105 S MADISON AVE,SPRING VALLEY,NY,10977,,,"(41.1031, -74.0485)"
510101,ST. LAWRENCE,BRASHER FALLS CENT SCH DIST,CENTRAL NEW YORK,2010-2012,82,21%,124,31.8%,206,52.8%,DISTRICT TOTAL,SCHOOL DISTRICT,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,,,"(44.8016, -74.7647)"
510101,ST. LAWRENCE,BRASHER FALLS CENT SCH DIST,CENTRAL NEW YORK,2010-2012,56,22.5%,73,29.3%,129,51.8%,ELEMENTARY,SCHOOL DISTRICT,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,,,"(44.8016, -74.7647)"
510101,ST. LAWRENCE,BRASHER FALLS CENT SCH DIST,CENTRAL NEW YORK,2010-2012,27,19.4%,38,27.3%,65,46.8%,MIDDLE/HIGH,SCHOOL DISTRICT,1039 STATE HWY 11C,BRASHER FALLS,NY,13613,,,"(44.8016, -74.7647)"
510201,ST. LAWRENCE,CANTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,79,16%,108,21.9%,187,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,99 STATE ST,CANTON,NY,13617,,,"(44.6056, -75.1678)"
510201,ST. LAWRENCE,CANTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,53,17.2%,52,16.9%,105,34.1%,ELEMENTARY,SCHOOL DISTRICT,99 STATE ST,CANTON,NY,13617,,,"(44.6056, -75.1678)"
510201,ST. LAWRENCE,CANTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,26,16.7%,26,16.7%,52,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,99 STATE ST,CANTON,NY,13617,,,"(44.6056, -75.1678)"
510401,ST. LAWRENCE,CLIFTON FINE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,30,22.1%,32,23.5%,62,45.6%,DISTRICT TOTAL,SCHOOL DISTRICT,11 HALL AVE,STAR LAKE,NY,13690,,,"(44.16, -75.0387)"
510401,ST. LAWRENCE,CLIFTON FINE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,19,20.2%,19,20.2%,38,40.4%,ELEMENTARY,SCHOOL DISTRICT,11 HALL AVE,STAR LAKE,NY,13690,,,"(44.16, -75.0387)"
510401,ST. LAWRENCE,CLIFTON FINE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,11,34.4%,9,28.1%,20,62.5%,MIDDLE/HIGH,SCHOOL DISTRICT,11 HALL AVE,STAR LAKE,NY,13690,,,"(44.16, -75.0387)"
510501,ST. LAWRENCE,COLTON PIERREPT CENT SCH,CENTRAL NEW YORK,2010-2012,21,17.1%,32,26%,53,43.1%,DISTRICT TOTAL,SCHOOL DISTRICT,4921 STATE HWY 56,COLTON,NY,13625,,,"(44.5586, -74.9477)"
510501,ST. LAWRENCE,COLTON PIERREPT CENT SCH,CENTRAL NEW YORK,2010-2012,17,20%,19,22.4%,36,42.4%,ELEMENTARY,SCHOOL DISTRICT,4921 STATE HWY 56,COLTON,NY,13625,,,"(44.5586, -74.9477)"
510501,ST. LAWRENCE,COLTON PIERREPT CENT SCH,CENTRAL NEW YORK,2010-2012,,,6,23.1%,6,23.1%,MIDDLE/HIGH,SCHOOL DISTRICT,4921 STATE HWY 56,COLTON,NY,13625,,,"(44.5586, -74.9477)"
511101,ST. LAWRENCE,GOUVERNEUR CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,104,19.4%,104,19.4%,208,38.8%,DISTRICT TOTAL,SCHOOL DISTRICT,133 E BARNEY ST,GOUVERNEUR,NY,13642,,,"(44.3407, -75.4655)"
511101,ST. LAWRENCE,GOUVERNEUR CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,62,20.1%,52,16.8%,114,36.9%,ELEMENTARY,SCHOOL DISTRICT,133 E BARNEY ST,GOUVERNEUR,NY,13642,,,"(44.3407, -75.4655)"
511101,ST. LAWRENCE,GOUVERNEUR CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,42,18.8%,52,23.3%,94,42.2%,MIDDLE/HIGH,SCHOOL DISTRICT,133 E BARNEY ST,GOUVERNEUR,NY,13642,,,"(44.3407, -75.4655)"
511201,ST. LAWRENCE,HAMMOND CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,14,15.7%,24,27%,38,42.7%,DISTRICT TOTAL,SCHOOL DISTRICT,51 S MAIN ST,HAMMOND,NY,13646,,,"(44.4461, -75.6963)"
511201,ST. LAWRENCE,HAMMOND CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,,,15,31.3%,15,31.3%,ELEMENTARY,SCHOOL DISTRICT,51 S MAIN ST,HAMMOND,NY,13646,,,"(44.4461, -75.6963)"
511201,ST. LAWRENCE,HAMMOND CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,,,6,28.6%,6,28.6%,MIDDLE/HIGH,SCHOOL DISTRICT,51 S MAIN ST,HAMMOND,NY,13646,,,"(44.4461, -75.6963)"
511301,ST. LAWRENCE,HERMON DEKALB CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,15,13.9%,30,27.8%,45,41.7%,DISTRICT TOTAL,SCHOOL DISTRICT,709 E DEKALB RD,DEKALB JUNCTION,NY,13630,,,"(44.4835, -75.3037)"
511301,ST. LAWRENCE,HERMON DEKALB CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,6,10.7%,17,30.4%,23,41.1%,ELEMENTARY,SCHOOL DISTRICT,709 E DEKALB RD,DEKALB JUNCTION,NY,13630,,,"(44.4835, -75.3037)"
511301,ST. LAWRENCE,HERMON DEKALB CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,7,15.9%,13,29.5%,20,45.5%,MIDDLE/HIGH,SCHOOL DISTRICT,709 E DEKALB RD,DEKALB JUNCTION,NY,13630,,,"(44.4835, -75.3037)"
511602,ST. LAWRENCE,LISBON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,41,15.4%,58,21.7%,99,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,6866 COUNTY RT 10,LISBON,NY,13658,,,"(44.7231, -75.323)"
511602,ST. LAWRENCE,LISBON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,25,13.9%,33,18.3%,58,32.2%,ELEMENTARY,SCHOOL DISTRICT,6866 COUNTY RT 10,LISBON,NY,13658,,,"(44.7231, -75.323)"
511602,ST. LAWRENCE,LISBON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,16,18%,25,28.1%,41,46.1%,MIDDLE/HIGH,SCHOOL DISTRICT,6866 COUNTY RT 10,LISBON,NY,13658,,,"(44.7231, -75.323)"
511901,ST. LAWRENCE,MADRID WADDINGTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,62,19.7%,71,22.6%,133,42.4%,DISTRICT TOTAL,SCHOOL DISTRICT,2582 STATE HWY 345,MADRID,NY,13660,,,"(44.7878, -75.1551)"
511901,ST. LAWRENCE,MADRID WADDINGTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,51,23.9%,50,23.5%,101,47.4%,ELEMENTARY,SCHOOL DISTRICT,2582 STATE HWY 345,MADRID,NY,13660,,,"(44.7878, -75.1551)"
511901,ST. LAWRENCE,MADRID WADDINGTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,21,18.9%,21,18.9%,42,37.8%,MIDDLE/HIGH,SCHOOL DISTRICT,2582 STATE HWY 345,MADRID,NY,13660,,,"(44.7878, -75.1551)"
512001,ST. LAWRENCE,MASSENA CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,215,19.8%,340,31.3%,555,51.2%,DISTRICT TOTAL,SCHOOL DISTRICT,84 NIGHTENGALE AVE,MASSENA,NY,13662,,,"(44.9218, -74.898)"
512001,ST. LAWRENCE,MASSENA CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,131,19.4%,187,27.6%,318,47%,ELEMENTARY,SCHOOL DISTRICT,84 NIGHTENGALE AVE,MASSENA,NY,13662,,,"(44.9218, -74.898)"
512001,ST. LAWRENCE,MASSENA CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,84,20.8%,153,37.9%,237,58.7%,MIDDLE/HIGH,SCHOOL DISTRICT,84 NIGHTENGALE AVE,MASSENA,NY,13662,,,"(44.9218, -74.898)"
512101,ST. LAWRENCE,MORRISTOWN CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,25,18.9%,25,18.9%,50,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,408 GOUVERNEUR ST,MORRISTOWN,NY,13664,,,"(44.5868, -75.6476)"
512101,ST. LAWRENCE,MORRISTOWN CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,18,20.7%,12,13.8%,30,34.5%,ELEMENTARY,SCHOOL DISTRICT,408 GOUVERNEUR ST,MORRISTOWN,NY,13664,,,"(44.5868, -75.6476)"
512101,ST. LAWRENCE,MORRISTOWN CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,,,11,36.7%,11,36.7%,MIDDLE/HIGH,SCHOOL DISTRICT,408 GOUVERNEUR ST,MORRISTOWN,NY,13664,,,"(44.5868, -75.6476)"
512201,ST. LAWRENCE,NORWOOD NORFOLK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,62,18.1%,88,25.7%,150,43.7%,DISTRICT TOTAL,SCHOOL DISTRICT,7852 STATE HWY 56,NORWOOD,NY,13668,,,"(44.7742, -74.9899)"
512201,ST. LAWRENCE,NORWOOD NORFOLK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,32,15.5%,47,22.7%,79,38.2%,ELEMENTARY,SCHOOL DISTRICT,7852 STATE HWY 56,NORWOOD,NY,13668,,,"(44.7742, -74.9899)"
512201,ST. LAWRENCE,NORWOOD NORFOLK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,30,22.1%,41,30.1%,71,52.2%,MIDDLE/HIGH,SCHOOL DISTRICT,7852 STATE HWY 56,NORWOOD,NY,13668,,,"(44.7742, -74.9899)"
512300,ST. LAWRENCE,OGDENSBURG CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,60,15.2%,79,19.9%,139,35.1%,DISTRICT TOTAL,SCHOOL DISTRICT,1100 STATE ST,OGDENSBURG,NY,13669,,,"(44.689, -75.486)"
512300,ST. LAWRENCE,OGDENSBURG CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,44,15.4%,45,15.8%,89,31.2%,ELEMENTARY,SCHOOL DISTRICT,1100 STATE ST,OGDENSBURG,NY,13669,,,"(44.689, -75.486)"
512300,ST. LAWRENCE,OGDENSBURG CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,16,16%,34,34%,50,50%,MIDDLE/HIGH,SCHOOL DISTRICT,1100 STATE ST,OGDENSBURG,NY,13669,,,"(44.689, -75.486)"
512404,ST. LAWRENCE,HEUVELTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,37,22.6%,43,26.2%,80,48.8%,DISTRICT TOTAL,SCHOOL DISTRICT,87 WASHINGTON ST,HEUVELTON,NY,13654,,,"(44.6217, -75.4088)"
512404,ST. LAWRENCE,HEUVELTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,23,28%,16,19.5%,39,47.6%,ELEMENTARY,SCHOOL DISTRICT,87 WASHINGTON ST,HEUVELTON,NY,13654,,,"(44.6217, -75.4088)"
512404,ST. LAWRENCE,HEUVELTON CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,14,19.2%,18,24.7%,32,43.8%,MIDDLE/HIGH,SCHOOL DISTRICT,87 WASHINGTON ST,HEUVELTON,NY,13654,,,"(44.6217, -75.4088)"
512501,ST. LAWRENCE,PARISHVL HOPKINTON CENT SCH,CENTRAL NEW YORK,2010-2012,38,18.1%,55,26.2%,93,44.3%,DISTRICT TOTAL,SCHOOL DISTRICT,12 COUNTY RT 47,PARISHVILLE,NY,13672,,,"(44.5787, -74.7725)"
512501,ST. LAWRENCE,PARISHVL HOPKINTON CENT SCH,CENTRAL NEW YORK,2010-2012,22,16.1%,34,24.8%,56,40.9%,ELEMENTARY,SCHOOL DISTRICT,12 COUNTY RT 47,PARISHVILLE,NY,13672,,,"(44.5787, -74.7725)"
512501,ST. LAWRENCE,PARISHVL HOPKINTON CENT SCH,CENTRAL NEW YORK,2010-2012,16,21.9%,21,28.8%,37,50.7%,MIDDLE/HIGH,SCHOOL DISTRICT,12 COUNTY RT 47,PARISHVILLE,NY,13672,,,"(44.5787, -74.7725)"
512902,ST. LAWRENCE,POTSDAM CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,106,18.5%,106,18.5%,212,37.1%,DISTRICT TOTAL,SCHOOL DISTRICT,29 LEROY ST,POTSDAM,NY,13676,,,"(44.674, -74.9818)"
512902,ST. LAWRENCE,POTSDAM CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,56,16.9%,56,16.9%,112,33.7%,ELEMENTARY,SCHOOL DISTRICT,29 LEROY ST,POTSDAM,NY,13676,,,"(44.674, -74.9818)"
512902,ST. LAWRENCE,POTSDAM CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,50,21.8%,49,21.4%,99,43.2%,MIDDLE/HIGH,SCHOOL DISTRICT,29 LEROY ST,POTSDAM,NY,13676,,,"(44.674, -74.9818)"
513102,ST. LAWRENCE,EDWARDS-KNOX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,36,19.4%,32,17.2%,68,36.6%,DISTRICT TOTAL,SCHOOL DISTRICT,2512 COUNTY HWY 24,RUSSELL,NY,13684,,,"(44.364, -75.2036)"
513102,ST. LAWRENCE,EDWARDS-KNOX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,27,19.7%,39,28.5%,66,48.2%,ELEMENTARY,SCHOOL DISTRICT,2512 COUNTY HWY 24,RUSSELL,NY,13684,,,"(44.364, -75.2036)"
513102,ST. LAWRENCE,EDWARDS-KNOX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,14,17.1%,25,30.5%,39,47.6%,MIDDLE/HIGH,SCHOOL DISTRICT,2512 COUNTY HWY 24,RUSSELL,NY,13684,,,"(44.364, -75.2036)"
520101,SARATOGA,BURNT HILLS BALLSTON LAKE CENT,NORTHEASTERN NEW YORK,2010-2012,149,15.2%,128,13%,277,28.2%,DISTRICT TOTAL,SCHOOL DISTRICT,50 CYPRESS DR,SCOTIA,NY,12302,,,"(42.878, -73.9432)"
520101,SARATOGA,BURNT HILLS BALLSTON LAKE CENT,NORTHEASTERN NEW YORK,2010-2012,74,14.4%,65,12.6%,139,27%,ELEMENTARY,SCHOOL DISTRICT,50 CYPRESS DR,SCOTIA,NY,12302,,,"(42.878, -73.9432)"
520101,SARATOGA,BURNT HILLS BALLSTON LAKE CENT,NORTHEASTERN NEW YORK,2010-2012,75,16%,63,13.5%,138,29.5%,MIDDLE/HIGH,SCHOOL DISTRICT,50 CYPRESS DR,SCOTIA,NY,12302,,,"(42.878, -73.9432)"
520302,SARATOGA,SHENENDEHOWA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,443,15.6%,229,8.1%,672,23.7%,DISTRICT TOTAL,SCHOOL DISTRICT,5 CHELSEA PL,CLIFTON PARK,NY,12065,,,"(42.8692, -73.7712)"
520302,SARATOGA,SHENENDEHOWA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,266,15.1%,120,6.8%,386,21.9%,ELEMENTARY,SCHOOL DISTRICT,5 CHELSEA PL,CLIFTON PARK,NY,12065,,,"(42.8692, -73.7712)"
520302,SARATOGA,SHENENDEHOWA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,197,18.1%,109,10%,306,28.1%,MIDDLE/HIGH,SCHOOL DISTRICT,5 CHELSEA PL,CLIFTON PARK,NY,12065,,,"(42.8692, -73.7712)"
520401,SARATOGA,CORINTH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,52,15.6%,90,27%,142,42.6%,DISTRICT TOTAL,SCHOOL DISTRICT,105 OAK ST,CORINTH,NY,12822,,,"(43.2425, -73.8271)"
520401,SARATOGA,CORINTH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,26,16%,33,20.4%,59,36.4%,ELEMENTARY,SCHOOL DISTRICT,105 OAK ST,CORINTH,NY,12822,,,"(43.2425, -73.8271)"
520401,SARATOGA,CORINTH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,26,15.8%,57,34.5%,83,50.3%,MIDDLE/HIGH,SCHOOL DISTRICT,105 OAK ST,CORINTH,NY,12822,,,"(43.2425, -73.8271)"
520601,SARATOGA,EDINBURG COMMON SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,4 JOHNSON RD,EDINBURG,NY,12134,,,"(43.2208, -74.1268)"
520601,SARATOGA,EDINBURG COMMON SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,4 JOHNSON RD,EDINBURG,NY,12134,,,"(43.2208, -74.1268)"
520601,SARATOGA,EDINBURG COMMON SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,4 JOHNSON RD,EDINBURG,NY,12134,,,"(43.2208, -74.1268)"
520701,SARATOGA,GALWAY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,30,14.6%,42,20.4%,72,35%,DISTRICT TOTAL,SCHOOL DISTRICT,5317 SACANDAGA RD,GALWAY,NY,12074,,,"(43.0223, -74.0326)"
520701,SARATOGA,GALWAY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,15,13.3%,25,22.1%,40,35.4%,ELEMENTARY,SCHOOL DISTRICT,5317 SACANDAGA RD,GALWAY,NY,12074,,,"(43.0223, -74.0326)"
520701,SARATOGA,GALWAY CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,17,19.1%,17,19.1%,34,38.2%,MIDDLE/HIGH,SCHOOL DISTRICT,5317 SACANDAGA RD,GALWAY,NY,12074,,,"(43.0223, -74.0326)"
521200,SARATOGA,MECHANICVILLE CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,85,20%,101,23.8%,186,43.9%,DISTRICT TOTAL,SCHOOL DISTRICT,25 KNISKERN AVE,MECHANICVILLE,NY,12118,,,"(42.9015, -73.6994)"
521200,SARATOGA,MECHANICVILLE CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,53,18.8%,40,14.2%,93,33%,ELEMENTARY,SCHOOL DISTRICT,25 KNISKERN AVE,MECHANICVILLE,NY,12118,,,"(42.9015, -73.6994)"
521200,SARATOGA,MECHANICVILLE CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,32,16.8%,61,31.9%,93,48.7%,MIDDLE/HIGH,SCHOOL DISTRICT,25 KNISKERN AVE,MECHANICVILLE,NY,12118,,,"(42.9015, -73.6994)"
521301,SARATOGA,BALLSTON SPA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,165,15.9%,147,14.2%,312,30.1%,DISTRICT TOTAL,SCHOOL DISTRICT,70 MALTA AVE,BALLSTON SPA,NY,12020,,,"(43.0047, -73.8469)"
521301,SARATOGA,BALLSTON SPA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,79,13.5%,75,12.8%,154,26.4%,ELEMENTARY,SCHOOL DISTRICT,70 MALTA AVE,BALLSTON SPA,NY,12020,,,"(43.0047, -73.8469)"
521301,SARATOGA,BALLSTON SPA CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,86,19.1%,72,16%,158,35%,MIDDLE/HIGH,SCHOOL DISTRICT,70 MALTA AVE,BALLSTON SPA,NY,12020,,,"(43.0047, -73.8469)"
521401,SARATOGA,SO GLENS FALLS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,106,14.6%,135,18.6%,241,33.2%,DISTRICT TOTAL,SCHOOL DISTRICT,6 BLUEBIRD RD,SOUTH GLENS FALLS,NY,12803,,,"(43.2731, -73.6479)"
521401,SARATOGA,SO GLENS FALLS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,75,16.1%,82,17.6%,157,33.6%,ELEMENTARY,SCHOOL DISTRICT,6 BLUEBIRD RD,SOUTH GLENS FALLS,NY,12803,,,"(43.2731, -73.6479)"
521401,SARATOGA,SO GLENS FALLS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,31,12.3%,53,20.9%,84,33.2%,MIDDLE/HIGH,SCHOOL DISTRICT,6 BLUEBIRD RD,SOUTH GLENS FALLS,NY,12803,,,"(43.2731, -73.6479)"
521701,SARATOGA,SCHUYLERVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,122,19%,122,19%,244,37.9%,DISTRICT TOTAL,SCHOOL DISTRICT,14 SPRING ST,SCHUYLERVILLE,NY,12871,,,"(43.1041, -73.5804)"
521701,SARATOGA,SCHUYLERVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,73,19%,64,16.6%,137,35.6%,ELEMENTARY,SCHOOL DISTRICT,14 SPRING ST,SCHUYLERVILLE,NY,12871,,,"(43.1041, -73.5804)"
521701,SARATOGA,SCHUYLERVILLE CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,49,19.1%,58,22.7%,107,41.8%,MIDDLE/HIGH,SCHOOL DISTRICT,14 SPRING ST,SCHUYLERVILLE,NY,12871,,,"(43.1041, -73.5804)"
521800,SARATOGA,SARATOGA SPRINGS CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,104,11.6%,113,12.6%,217,24.2%,DISTRICT TOTAL,SCHOOL DISTRICT,3 BLUE STREAK BLVD,SARATOGA SPRINGS,NY,12866,,,"(43.0727, -73.803)"
521800,SARATOGA,SARATOGA SPRINGS CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,53,11%,62,12.8%,115,23.8%,ELEMENTARY,SCHOOL DISTRICT,3 BLUE STREAK BLVD,SARATOGA SPRINGS,NY,12866,,,"(43.0727, -73.803)"
